100 200 3.075
100 400 3.325
100 1000 3.2
100 4950 3.375
200 400 3.525
200 1000 3.825
200 2800 3.75
200 19900 4.625
300 600 3.55
300 1500 3.825
300 5100 3.875
300 44850 6.25
400 800 3.65
400 2000 3.825
400 8000 4
400 79800 8.05156
500 1000 3.65
500 3000 3.95
500 11000 4.15
500 124750 10.5578
600 1200 3.65
600 3600 3.95
600 14400 4.375
600 179700 14.1812
700 1400 3.65
700 4200 3.95
700 18200 4.625
700 244650 17.575
800 1600 3.65
800 4800 4.05
800 22400 4.875
800 319600 21.4109
900 1800 3.65
900 5400 4.05
900 27000 5.125
900 404550 25.6859
1000 2000 3.65
1000 6000 4.075
1000 31000 5.35
1000 499500 31.3609
